label,Total Population
2019,9053300
2018,8882800
2017,8713300
2016,8546000
2015,8380100
2014,8215700
2013,8059500
2012,7910500
2011,7765800
2010,7623600
2009,7485600
2008,7308800
2007,7180100
2006,7053700
2005,6930100
2004,6809000
2003,6689700
2002,6570000
2001,6439000
2000,6289000
1999,6125000
1998,5971000
1997,5836000
1996,5692000
1995,5545000
1994,5399000
1993,5261000
1992,5123000
1991,4949000
1990,4660000
1989,4518000
1988,4442000
1987,4369000
1986,4299000
1985,4233000
1984,4159000
1983,4105000
1982,4031000
1981,3956000
1980,3878000
1979,3786000
1978,3690000
1977,3613000
1976,3533000
1975,3455000
1974,3377000
1973,3278000
1972,3148000
1971,3069000
1970,2974000
1969,2877000
1968,2803000
1967,2745000
1966,2629000
1965,2563000
1964,2475000
1963,2379000
1962,2293000
1961,2185000
1960,2114020
